timestamp,car_id,sensor_id,track_id,gt_x,gt_y,track_x,track_y
81.4,car0,0,90,266.84,168.636,267.743,168.628
81.45,car0,0,90,266.84,168.688,267.733,168.677
81.5,car0,0,90,266.84,168.737,267.723,168.722
81.55,car0,0,90,266.84,168.788,267.713,168.769
81.6,car0,0,90,266.84,168.846,267.702,168.822
81.65,car0,0,90,266.84,168.898,267.692,168.868
81.7,car0,0,90,266.84,168.956,267.68,168.924
81.75,car0,0,90,266.84,169.006,267.669,168.976
81.8,car0,0,90,266.84,169.065,267.657,169.036
81.85,car0,0,90,266.84,169.12,267.645,169.091
81.9,car0,0,90,266.84,169.17,267.634,169.142
81.95,car0,0,90,266.84,169.222,267.623,169.193
82.0,car0,0,90,266.84,169.274,267.612,169.244
82.05,car0,0,90,266.84,169.333,267.6,169.304
82.1,car0,0,90,266.84,169.386,267.586,169.367
82.15,car0,0,90,266.84,169.441,267.573,169.429
82.2,car0,0,90,266.84,169.5,267.56,169.493
82.25,car0,0,90,266.84,169.551,267.548,169.545
82.3,car0,0,90,266.84,169.607,267.536,169.603
82.35,car0,0,90,266.84,169.656,267.525,169.655
82.4,car0,0,90,266.84,169.712,267.513,169.713
82.45,car0,0,90,266.84,169.772,267.5,169.774
82.5,car0,0,90,266.84,169.822,267.488,169.827
82.55,car0,0,90,266.84,169.879,267.476,169.886
82.6,car0,0,90,266.84,169.929,267.465,169.938
82.65,car0,0,90,266.84,169.98,267.454,169.989
82.7,car0,0,90,266.84,170.028,267.443,170.038
82.75,car0,0,90,266.84,170.086,267.431,170.097
82.8,car0,0,90,266.84,170.137,267.42,170.15
82.85,car0,0,90,266.84,170.192,267.408,170.207
82.9,car0,0,90,266.84,170.249,267.395,170.264
82.95,car0,0,90,266.84,170.304,267.384,170.319
83.0,car0,0,90,266.84,170.359,267.372,170.374
83.05,car0,0,90,266.84,170.412,267.361,170.425
83.1,car0,0,90,266.84,170.465,267.35,170.477
83.15,car0,0,90,266.84,170.517,267.34,170.525
83.2,car0,0,90,266.84,170.569,267.33,170.574
83.25,car0,0,90,266.84,170.625,267.318,170.627
83.3,car0,0,90,266.84,170.673,267.309,170.67
83.35,car0,0,90,266.84,170.724,267.299,170.716
83.4,car0,0,90,266.84,170.782,267.289,170.767
83.45,car0,0,90,266.84,170.831,267.28,170.808
83.5,car0,0,90,266.84,170.886,267.271,170.849
83.55,car0,0,90,266.84,170.942,267.265,170.88
83.6,car0,0,90,266.84,170.995,267.254,170.929
83.65,car0,0,90,266.84,171.049,267.243,170.981
83.7,car0,0,90,266.84,171.099,267.233,171.027
83.75,car0,0,90,266.84,171.156,267.221,171.083
83.8,car0,0,90,266.84,171.212,267.21,171.139
83.85,car0,0,90,266.84,171.27,267.197,171.196
83.9,car0,0,90,266.84,171.328,267.185,171.253
83.95,car0,0,90,266.84,171.378,267.175,171.301
84.0,car0,0,90,266.84,171.432,267.164,171.353
84.05,car0,0,90,266.84,171.482,267.154,171.401
84.1,car0,0,90,266.84,171.533,267.144,171.449
84.15,car0,0,90,266.84,171.581,267.134,171.494
84.2,car0,0,90,266.84,171.634,267.124,171.544
84.25,car0,0,90,266.84,171.685,267.112,171.599
84.3,car0,0,90,266.84,171.735,267.099,171.659
84.35,car0,0,90,266.84,171.791,267.085,171.724
84.4,car0,0,90,266.84,171.85,267.071,171.79
84.45,car0,0,90,266.84,171.904,267.058,171.851
84.5,car0,0,90,266.84,171.96,267.045,171.912
84.55,car0,0,90,266.84,172.014,267.033,171.97
84.6,car0,0,90,266.84,172.063,267.022,172.021
84.65,car0,0,90,266.84,172.118,267.011,172.075
