timestamp,id,sensor,x,y
1.3,car0,0,267.736,168.664,0
1.35,car0,0,267.725,168.714,1
1.4,car0,0,267.714,168.764,1
1.45,car0,0,267.703,168.819,1
1.5,car0,0,267.692,168.871,1
1.55,car0,0,267.679,168.931,1
1.6,car0,0,267.665,168.998,1
1.65,car0,0,267.651,169.06,1
1.7,car0,0,267.64,169.115,1
1.75,car0,0,267.626,169.179,1
1.8,car0,0,267.615,169.23,1
1.85,car0,0,267.602,169.295,1
1.9,car0,0,267.588,169.36,1
1.95,car0,0,267.573,169.429,1
2,car0,0,267.559,169.496,1
2.05,car0,0,267.545,169.563,1
2.1,car0,0,267.531,169.626,1
2.15,car0,0,267.52,169.68,1
2.2,car0,0,267.506,169.744,1
2.25,car0,0,267.492,169.808,1
2.3,car0,0,267.479,169.873,1
2.35,car0,0,267.466,169.933,1
2.4,car0,0,267.452,169.996,1
2.45,car0,0,267.441,170.052,1
2.5,car0,0,267.427,170.118,1
2.55,car0,0,267.414,170.175,1
2.6,car0,0,267.402,170.232,1
2.65,car0,0,267.39,170.29,1
2.7,car0,0,267.378,170.345,1
2.75,car0,0,267.367,170.397,1
2.8,car0,0,267.356,170.448,1
2.85,car0,0,267.344,170.507,1
2.9,car0,0,267.332,170.563,1
2.95,car0,0,267.332,170.563,1
3,car0,0,267.308,170.674,1
3.05,car0,0,267.298,170.721,1
3.1,car0,0,267.298,170.721,1
3.15,car0,0,267.277,170.822,1
3.2,car0,0,267.269,170.861,1
3.25,car0,0,267.258,170.913,1
3.3,car0,0,267.245,170.97,1
3.35,car0,0,267.234,171.025,1
3.4,car0,0,267.223,171.077,1
3.45,car0,0,267.209,171.141,1
3.5,car0,0,267.196,171.202,1
3.55,car0,0,267.185,171.253,1
3.6,car0,0,267.173,171.312,1
3.65,car0,0,267.16,171.371,1
3.7,car0,0,267.147,171.431,1
3.75,car0,0,267.136,171.486,1
3.8,car0,0,267.124,171.544,1
3.85,car0,0,267.109,171.614,1
3.9,car0,0,267.093,171.689,1
3.95,car0,0,267.077,171.763,1
4,car0,0,267.064,171.825,1
4.05,car0,0,267.049,171.893,1
4.1,car0,0,267.035,171.959,1
4.15,car0,0,267.022,172.023,1
4.2,car0,0,267.01,172.078,1
4.25,car0,0,266.998,172.134,1
4.3,car0,0,266.987,172.184,1
4.35,car0,0,266.977,172.234,1
4.4,car0,0,266.968,172.276,1
4.45,car0,0,266.963,172.297,1
4.5,car0,0,266.951,172.358,1
4.55,car0,0,266.938,172.418,1
4.6,car0,0,266.925,172.477,1
4.65,car0,0,266.915,172.527,1
4.7,car0,0,266.902,172.586,1
4.75,car0,0,266.89,172.642,1
4.8,car0,0,266.876,172.71,1
4.85,car0,0,266.864,172.763,1
4.9,car0,0,266.853,172.817,1
4.95,car0,0,266.843,172.865,1
5,car0,0,266.831,172.921,1
5.05,car0,0,266.819,172.979,1
5.1,car0,0,266.808,173.029,1
5.15,car0,0,266.797,173.081,1
5.2,car0,0,266.786,173.132,1
5.25,car0,0,266.775,173.182,1
5.3,car0,0,266.765,173.229,1
5.35,car0,0,266.754,173.281,1
5.4,car0,0,266.744,173.328,1
5.45,car0,0,266.737,173.363,1
5.55,car0,1,267.291,173.739,1
5.6,car0,1,267.245,173.78,1
5.65,car0,1,267.21,173.81,1
5.7,car0,1,267.153,173.859,1
5.75,car0,1,267.072,173.929,1
5.8,car0,1,267.028,173.968,1
5.85,car0,1,266.989,174.002,1
5.9,car0,1,266.956,174.03,1
5.95,car0,1,266.922,174.06,1
6,car0,1,266.897,174.082,1
6.05,car0,1,266.87,174.105,1
6.1,car0,1,266.85,174.123,1
6.15,car0,1,266.857,174.117,1
6.3,car0,2,267.141,174.597,1
6.35,car0,2,267.085,174.605,1
6.4,car0,2,266.922,174.628,1
6.45,car0,2,266.903,174.631,1
6.5,car0,2,266.889,174.633,1
6.55,car0,2,266.885,174.633,1
6.6,car0,2,266.899,174.631,1
6.65,car0,2,266.992,174.618,1
6.75,car0,3,266.913,175.051,1
6.8,car0,3,266.887,175.047,1
6.85,car0,3,266.886,175.047,1
6.9,car0,3,266.895,175.048,1
