id,sensor,timestamp,x,y
car0,0,1.3,267.733,168.678,0
car0,0,1.35,267.722,168.73,1
car0,0,1.4,267.711,168.781,1
car0,0,1.45,267.7,168.829,1
car0,0,1.5,267.689,168.883,1
car0,0,1.55,267.676,168.945,1
car0,0,1.6,267.662,169.009,1
car0,0,1.65,267.649,169.073,1
car0,0,1.7,267.636,169.135,1
car0,0,1.75,267.624,169.187,1
car0,0,1.8,267.611,169.25,1
car0,0,1.85,267.598,169.312,1
car0,0,1.9,267.582,169.388,1
car0,0,1.95,267.567,169.456,1
car0,0,2,267.553,169.525,1
car0,0,2.05,267.54,169.583,1
car0,0,2.1,267.527,169.646,1
car0,0,2.15,267.514,169.705,1
car0,0,2.2,267.502,169.764,1
car0,0,2.25,267.489,169.824,1
car0,0,2.3,267.476,169.884,1
car0,0,2.35,267.463,169.945,1
car0,0,2.4,267.449,170.012,1
car0,0,2.45,267.435,170.077,1
car0,0,2.5,267.423,170.136,1
car0,0,2.55,267.41,170.196,1
car0,0,2.6,267.398,170.253,1
car0,0,2.65,267.387,170.306,1
car0,0,2.7,267.376,170.358,1
car0,0,2.75,267.363,170.417,1
car0,0,2.8,267.352,170.471,1
car0,0,2.85,267.34,170.527,1
car0,0,2.9,267.329,170.579,1
car0,0,2.95,267.318,170.631,1
car0,0,3,267.307,170.682,1
car0,0,3.05,267.297,170.73,1
car0,0,3.1,267.286,170.78,1
car0,0,3.15,267.276,170.829,1
car0,0,3.2,267.269,170.861,1
car0,0,3.25,267.258,170.91,1
car0,0,3.3,267.246,170.967,1
car0,0,3.35,267.234,171.022,1
car0,0,3.4,267.222,171.082,1
car0,0,3.45,267.21,171.139,1
car0,0,3.5,267.198,171.195,1
car0,0,3.55,267.186,171.248,1
car0,0,3.6,267.175,171.3,1
car0,0,3.65,267.163,171.356,1
car0,0,3.7,267.153,171.406,1
car0,0,3.75,267.141,171.462,1
car0,0,3.8,267.128,171.521,1
car0,0,3.85,267.117,171.574,1
car0,0,3.9,267.102,171.646,1
car0,0,3.95,267.088,171.712,1
car0,0,4,267.072,171.786,1
car0,0,4.05,267.059,171.846,1
car0,0,4.1,267.044,171.916,1
car0,0,4.15,267.032,171.974,1
car0,0,4.2,267.021,172.027,1
car0,0,4.25,267.01,172.079,1
car0,0,4.3,266.998,172.134,1
car0,0,4.35,266.987,172.188,1
car0,0,4.4,266.975,172.24,1
car0,0,4.45,266.967,172.282,1
car0,0,4.5,266.96,172.313,1
car0,0,4.55,266.948,172.369,1
car0,0,4.6,266.936,172.428,1
car0,0,4.65,266.924,172.481,1
car0,0,4.7,266.911,172.541,1
car0,0,4.75,266.899,172.598,1
car0,0,4.8,266.889,172.648,1
car0,0,4.85,266.875,172.713,1
car0,0,4.9,266.863,172.771,1
car0,0,4.95,266.85,172.83,1
car0,0,5,266.838,172.885,1
car0,0,5.05,266.826,172.942,1
car0,0,5.1,266.814,172.999,1
car0,0,5.15,266.803,173.05,1
car0,0,5.2,266.793,173.101,1
car0,0,5.25,266.782,173.153,1
car0,0,5.3,266.771,173.203,1
car0,0,5.35,266.76,173.254,1
car0,0,5.4,266.749,173.303,1
car0,0,5.45,266.741,173.343,1
car0,0,5.5,266.735,173.371,1
car0,1,5.55,267.328,173.708,1
car0,1,5.6,267.272,173.756,1
car0,1,5.65,267.231,173.792,1
car0,1,5.7,267.195,173.822,1
car0,1,5.75,267.115,173.893,1
car0,1,5.8,267.06,173.94,1
car0,1,5.85,267.014,173.98,1
car0,1,5.9,266.977,174.012,1
car0,1,5.95,266.943,174.041,1
car0,1,6,266.915,174.066,1
car0,1,6.05,266.89,174.088,1
car0,1,6.1,266.863,174.111,1
car0,1,6.15,266.846,174.126,1
car0,1,6.2,266.888,174.09,1
car0,2,6.35,267.105,174.602,1
