sensor_id,x0,y0,x1,y1,x2,y2
0,266.6,174.007,269.097,169.106,266.312,168.514
1,266.6,174.34,271.543,171.929,269.676,169.78
2,266.6,174.673,272.059,175.344,271.663,172.524
3,266.6,175.007,271.663,177.156,272.059,174.336
4,266.6,175.34,269.676,179.9,271.543,177.751
5,266.6,175.673,266.312,181.166,269.097,180.574
6,262.25,175.673,259.753,180.574,262.538,181.166
7,262.25,175.34,256.913,176.671,258.294,179.161
8,262.25,175.007,256.818,174.146,257.115,176.978
9,262.25,174.673,257.115,172.702,256.818,175.534
10,262.25,174.34,258.294,170.519,256.913,173.009
11,262.25,174.007,262.538,168.514,259.753,169.106
