timestamp,track_id,sensor_id,x_track,y_track,x_raw,y_raw
1.3,107,0,267.685,168.647,267.733,168.678
1.35,107,0,267.761,168.751,267.722,168.73
1.4,107,0,267.741,168.799,267.711,168.781
1.45,107,0,267.724,168.844,267.7,168.829
1.5,107,0,267.708,168.894,267.689,168.883
1.55,107,0,267.693,168.949,267.676,168.945
1.6,107,0,267.678,169.008,267.662,169.009
1.65,107,0,267.663,169.069,267.649,169.073
1.7,107,0,267.649,169.131,267.636,169.135
1.75,107,0,267.635,169.189,267.624,169.187
1.8,107,0,267.621,169.249,267.611,169.25
1.85,107,0,267.608,169.31,267.598,169.312
1.9,107,0,267.593,169.374,267.582,169.388
1.95,107,0,267.578,169.44,267.567,169.456
2,107,0,267.564,169.507,267.553,169.525
2.05,107,0,267.55,169.571,267.54,169.583
2.1,107,0,267.535,169.636,267.527,169.646
2.15,107,0,267.522,169.699,267.514,169.705
2.2,107,0,267.508,169.762,267.502,169.764
2.25,107,0,267.494,169.824,267.489,169.824
2.3,107,0,267.481,169.886,267.476,169.884
2.35,107,0,267.468,169.948,267.463,169.945
2.4,107,0,267.454,170.01,267.449,170.012
2.45,107,0,267.441,170.073,267.435,170.077
2.5,107,0,267.427,170.135,267.423,170.136
2.55,107,0,267.414,170.197,267.41,170.196
2.6,107,0,267.401,170.258,267.398,170.253
2.65,107,0,267.388,170.319,267.387,170.306
2.7,107,0,267.375,170.378,267.376,170.358
2.75,107,0,267.362,170.437,267.363,170.417
2.8,107,0,267.35,170.495,267.352,170.471
2.85,107,0,267.338,170.553,267.34,170.527
2.9,107,0,267.325,170.61,267.329,170.579
2.95,107,0,267.313,170.667,267.318,170.631
3,107,0,267.301,170.723,267.307,170.682
3.05,107,0,267.289,170.778,267.297,170.73
3.1,107,0,267.278,170.832,267.286,170.78
3.15,107,0,267.266,170.886,267.276,170.829
3.2,107,0,267.255,170.938,267.269,170.861
3.25,107,0,267.244,170.989,267.258,170.91
3.3,107,0,267.233,171.041,267.246,170.967
3.35,107,0,267.222,171.093,267.234,171.022
3.4,107,0,267.211,171.145,267.222,171.082
3.45,107,0,267.199,171.198,267.21,171.139
3.5,107,0,267.188,171.251,267.198,171.195
3.55,107,0,267.177,171.304,267.186,171.248
3.6,107,0,267.165,171.357,267.175,171.3
3.65,107,0,267.154,171.41,267.163,171.356
3.7,107,0,267.143,171.463,267.153,171.406
3.75,107,0,267.132,171.516,267.141,171.462
