timestamp,id,sensor,x,y
0.1,car1,7,277.489,159.875,0
0.15,car1,7,277.489,159.875,1
0.2,car1,7,277.489,159.875,1
0.25,car1,7,277.489,159.875,1
0.3,car1,7,277.489,159.875,1
0.35,car1,7,277.489,159.875,1
0.4,car1,7,277.489,159.875,1
0.45,car1,7,277.489,159.875,1
0.5,car1,7,277.489,159.875,1
0.55,car1,7,277.489,159.875,1
0.6,car1,7,277.489,159.875,1
0.65,car1,7,277.489,159.875,1
0.7,car1,7,277.489,159.875,1
0.75,car1,7,277.489,159.875,1
0.8,car1,7,277.489,159.875,1
0.85,car1,7,277.489,159.875,1
0.9,car1,7,277.489,159.875,1
0.95,car1,7,277.489,159.875,1
1,car1,7,277.489,159.875,1
1.05,car1,7,277.489,159.875,1
1.1,car1,7,277.489,159.875,1
1.15,car1,7,277.489,159.875,1
1.2,car1,7,277.489,159.875,1
1.25,car1,7,277.489,159.875,1
1.3,car1,7,277.489,159.875,1
1.35,car1,7,277.489,159.875,1
1.4,car1,7,277.489,159.875,1
1.45,car1,7,277.489,159.875,1
1.5,car1,7,277.489,159.875,1
1.55,car1,7,277.489,159.875,1
1.6,car1,7,277.489,159.875,1
1.65,car1,7,277.489,159.875,1
1.7,car1,7,277.489,159.875,1
1.75,car1,7,277.489,159.875,1
1.8,car1,7,277.489,159.875,1
1.85,car1,7,277.489,159.875,1
1.9,car1,7,277.489,159.875,1
1.95,car1,7,277.489,159.875,1
2,car1,7,277.489,159.875,1
2.05,car1,7,277.489,159.875,1
2.1,car1,7,277.489,159.875,1
2.15,car1,7,277.489,159.875,1
2.2,car1,7,277.489,159.875,1
2.25,car1,7,277.489,159.875,1
2.3,car1,7,277.489,159.875,1
2.35,car1,7,277.489,159.875,1
2.4,car1,7,277.489,159.875,1
2.45,car1,7,277.489,159.875,1
2.5,car1,7,277.489,159.875,1
2.55,car1,7,277.489,159.875,1
2.6,car1,7,277.489,159.875,1
2.65,car1,7,277.489,159.875,1
2.7,car1,7,277.489,159.875,1
2.75,car1,7,277.489,159.875,1
2.8,car1,7,277.489,159.875,1
2.85,car1,7,277.489,159.875,1
2.9,car1,7,277.489,159.875,1
2.95,car1,7,277.489,159.875,1
3,car1,7,277.489,159.875,1
3.05,car1,7,277.489,159.875,1
3.1,car1,7,277.489,159.875,1
3.15,car1,7,277.489,159.875,1
3.2,car1,7,277.489,159.875,1
3.25,car1,7,277.489,159.875,1
3.3,car1,7,277.489,159.875,1
3.35,car1,7,277.489,159.875,1
3.4,car1,7,277.489,159.875,1
3.45,car1,7,277.489,159.875,1
3.5,car1,7,277.489,159.875,1
3.55,car1,7,277.489,159.875,1
3.6,car1,7,277.489,159.875,1
3.65,car1,7,277.489,159.875,1
3.7,car1,7,277.489,159.875,1
3.75,car1,7,277.489,159.875,1
3.8,car1,7,277.489,159.875,1
