sensor_id,x0,y0,x1,y1,x2,y2
0,271.6,161.711,269.103,166.611,271.888,167.203
1,271.6,161.363,266.657,163.774,268.524,165.922
2,271.6,161.014,266.141,160.344,266.537,163.163
3,271.6,160.666,266.537,158.517,266.141,161.336
4,271.6,160.317,268.524,155.758,266.657,157.906
5,271.6,159.969,271.888,154.477,269.103,155.069
6,276.69,159.969,279.187,155.069,276.402,154.477
7,276.69,160.317,282.027,158.987,280.646,156.497
8,276.69,160.666,282.122,161.526,281.825,158.695
9,276.69,161.014,281.825,162.985,282.122,160.154
10,276.69,161.363,280.646,165.183,282.027,162.693
11,276.69,161.711,276.402,167.203,279.187,166.611
