timestamp,x_gt,y_gt
277.1,267.37,153.12
277.2,267.496,153.43
277.3,266.9,152.875
277.4,266.903,152.983
277.5,266.906,153.095
277.6,266.908,153.209
277.7,266.91,153.308
277.8,266.91,153.436
277.9,267.24,153.545
278,267.24,153.652
278.1,267.24,153.764
278.2,267.24,153.881
278.3,267.24,153.985
278.4,267.24,154.096
278.5,267.24,154.213
278.6,267.24,154.324
278.7,267.24,154.451
278.8,267.24,154.576
278.9,267.24,154.694
279,267.24,154.82
279.1,267.24,154.949
279.2,267.24,155.056
279.3,267.24,155.17
279.4,267.24,155.294
279.5,267.24,155.42
279.6,267.24,155.546
279.7,267.24,155.673
279.8,267.24,155.783
279.9,267.24,155.891
280,267.24,156.008
280.1,267.24,156.125
280.2,267.24,156.237
280.3,267.24,156.354
280.4,267.24,156.479
280.5,267.24,156.588
280.6,267.24,156.693
280.7,267.24,156.813
280.8,267.24,156.924
280.9,267.24,157.041
281,267.24,157.169
281.1,267.24,157.298
281.2,267.24,157.413
281.3,267.24,157.52
281.4,267.24,157.644
281.5,267.24,157.762
281.6,267.24,157.869
281.7,267.24,157.976
281.8,267.24,158.081
281.9,267.24,158.194
282,267.24,158.304
282.1,267.24,158.41
282.2,267.24,158.537
282.3,267.24,158.667
282.4,267.24,158.783
282.5,267.24,158.894
282.6,267.24,159.012
282.7,267.24,159.135
282.8,267.24,159.248
282.9,267.24,159.355
283,267.24,159.478
283.1,267.24,159.588
283.2,267.24,159.696
283.3,267.24,159.809
283.4,267.24,159.916
283.5,267.24,160.042
283.6,267.24,160.153
283.7,267.24,160.276
283.8,267.24,160.395
283.9,267.24,160.5
284,267.24,160.628
284.1,267.24,160.735
284.2,267.24,160.847
284.3,267.24,160.957
284.4,267.24,161.066
284.5,267.24,161.186
284.6,267.24,161.312
284.7,267.24,161.422
284.8,267.24,161.532
284.9,267.24,161.655
285,267.24,161.766
285.1,267.24,161.895
285.2,267.24,162.023
285.3,267.24,162.132
285.4,267.24,162.261
285.5,267.24,162.384
285.6,267.24,162.511
285.7,267.24,162.626
285.8,267.24,162.736
285.9,267.24,162.865
286,267.24,162.98
286.1,267.24,163.105
286.2,267.24,163.228
286.3,267.24,163.338
286.4,267.24,163.458
286.5,267.24,163.579
286.6,267.24,163.69
286.7,267.24,163.819
286.8,267.24,163.935
286.9,267.24,164.05
287,267.24,164.156
287.1,267.24,164.28
287.2,267.24,164.4
287.3,267.24,164.523
287.4,267.24,164.644
287.5,267.24,164.769
287.6,267.24,164.883
287.7,267.24,165.006
287.8,267.24,165.122
287.9,267.24,165.234
288,267.24,165.341
288.1,267.24,165.453
288.2,267.24,165.566
288.3,267.24,165.695
288.4,267.24,165.8
288.5,267.24,165.918
288.6,267.24,166.048
288.7,267.24,166.176
288.8,267.24,166.286
288.9,267.24,166.404
289,267.24,166.52
289.1,267.24,166.645
289.2,267.24,166.774
289.3,267.24,166.894
289.4,267.24,167.003
289.5,267.24,167.121
289.6,267.24,167.228
289.7,267.24,167.333
289.8,267.24,167.439
289.9,267.24,167.557
290,267.24,167.675
290.1,267.24,167.794
290.2,267.24,167.902
290.3,267.24,168.027
290.4,267.24,168.135
290.5,267.24,168.263
290.6,267.24,168.387
290.7,267.24,168.506
290.8,267.24,168.621
290.9,267.24,168.725
291,267.24,168.847
291.1,267.24,168.975
291.2,267.24,169.095
291.3,267.24,169.202
291.4,267.24,169.318
291.5,267.24,169.441
291.6,267.24,169.561
291.7,267.24,169.669
291.8,267.24,169.793
291.9,267.24,169.902
292,267.24,170.032
292.1,267.24,170.143
292.2,267.24,170.268
292.3,267.24,170.379
292.4,267.24,170.505
292.5,267.24,170.629
292.6,267.24,170.734
292.7,267.24,170.859
292.8,267.24,170.979
292.9,267.24,171.093
293,267.24,171.216
293.1,267.24,171.337
293.2,267.24,171.447
293.3,267.24,171.552
293.4,267.24,171.675
293.5,267.24,171.799
293.6,267.24,171.912
293.7,267.24,172.023
293.8,267.24,172.146
293.9,267.24,172.269
294,267.24,172.385
294.1,267.24,172.502
294.2,267.24,172.608
294.3,267.24,172.72
294.4,267.24,172.824
294.5,267.24,172.948
294.6,267.24,173.068
294.7,267.24,173.187
294.8,267.24,173.294
294.9,267.24,173.402
295,267.24,173.521
295.1,267.24,173.642
295.2,267.24,173.765
295.3,267.24,173.89
295.4,267.24,173.999
295.5,267.24,174.109
295.6,267.24,174.235
295.7,267.24,174.348
295.8,267.24,174.461
295.9,267.24,174.582
296,267.24,174.698
296.1,267.24,174.814
296.2,267.24,174.935
296.3,267.24,175.065
296.4,267.24,175.191
296.5,267.24,175.299
296.6,267.24,175.422
296.7,267.24,175.534
296.8,267.24,175.644
296.9,267.24,175.767
297,267.24,175.884
297.1,267.24,175.996
297.2,267.24,176.11
297.3,267.24,176.221
297.4,267.24,176.327
297.5,267.24,176.431
297.6,267.24,176.546
297.7,267.24,176.65
297.8,267.24,176.773
297.9,267.24,176.903
298,267.24,177.028
298.1,267.24,177.157
298.2,267.24,177.285
298.3,267.24,177.406
298.4,267.24,177.528
298.5,267.24,177.654
298.6,267.24,177.768
298.7,267.24,177.881
298.8,267.24,178.001
298.9,267.24,178.123
299,267.24,178.243
299.1,267.24,178.367
299.2,267.24,178.478
299.3,267.24,178.59
299.4,267.24,178.719
299.5,267.24,178.833
299.6,267.24,178.948
299.7,267.24,179.061
299.8,267.24,179.173
299.9,267.24,179.294
300,267.24,179.418
300.1,267.24,179.529
300.2,267.24,179.654
300.3,267.24,179.764
300.4,267.24,179.887
300.5,267.24,180.004
300.6,267.24,180.12
300.7,267.24,180.25
300.8,267.24,180.369
300.9,267.24,180.475
301,267.24,180.585
301.1,267.24,180.7
301.2,267.24,180.805
301.3,267.24,180.918
301.4,267.24,181.028
301.5,267.24,181.138
301.6,267.24,181.246
301.7,267.24,181.366
301.8,267.24,181.473
301.9,267.24,181.592
302,267.24,181.699
302.1,267.24,181.813
302.2,267.24,181.94
302.3,267.24,182.056
302.4,267.24,182.171
302.5,267.24,182.291
302.6,267.24,182.396
302.7,267.55,182.506
302.8,267.55,182.617
302.9,267.55,182.745
303,267.55,182.856
303.1,267.55,182.97
303.2,267.55,183.095
303.3,267.55,183.209
303.4,267.55,183.332
303.5,267.55,183.437
303.6,267.55,183.561
303.7,267.652,183.562
303.8,267.772,183.544
303.9,267.885,183.527
304,268.01,183.509
304.1,268.124,183.492
304.2,268.236,183.475
304.3,268.357,183.457
304.4,268.485,183.438
304.5,268.594,183.422
304.6,268.721,183.403
304.7,268.825,183.388
304.8,268.944,183.37
304.9,269.049,183.354
305,269.176,183.335
305.1,269.302,183.317
305.2,269.423,183.299
305.3,269.542,183.281
305.4,269.666,183.263
305.5,269.792,183.244
305.6,269.897,183.228
305.7,270.022,183.21
305.8,270.129,183.194
305.9,270.24,183.177
306,270.358,183.16
306.1,270.484,183.141
306.2,270.589,183.125
306.3,270.709,183.108
306.4,270.821,183.091
306.5,270.931,183.078
306.6,271.059,183.08
306.7,271.177,183.083
306.8,271.305,183.085
306.9,271.412,183.087
307,271.521,183.089
307.1,271.648,183.092
307.2,271.762,183.094
307.3,271.89,183.097
307.4,272.006,183.099
307.5,272.101,183.411
307.6,272.196,183.413
307.7,272.308,183.415
307.8,272.406,183.417
307.9,272.5,183.419
308,272.614,183.421
308.1,272.726,183.424
308.2,272.822,183.425
308.3,272.927,183.428
308.4,273.03,183.43
308.5,273.126,183.432
308.6,273.24,183.434
308.7,273.349,183.436
308.8,273.463,183.438
308.9,273.57,183.44
309,273.677,183.443
309.1,273.786,183.445
309.2,273.895,183.447
309.3,273.994,183.449
309.4,274.088,183.451
309.5,274.197,183.453
309.6,274.305,183.455
309.7,274.415,183.457
309.8,274.511,183.459
309.9,274.626,183.462
310,274.74,183.464
310.1,274.841,183.466
310.2,274.946,183.468
310.3,275.058,183.47
310.4,275.17,183.472
310.5,275.272,183.474
310.6,275.372,183.476
310.7,275.467,183.478
310.8,275.57,183.48
310.9,275.68,183.483
311,275.785,183.485
311.1,275.899,183.487
311.2,276.005,183.489
311.3,276.109,183.491
311.4,276.203,183.493
311.5,276.316,183.495
311.6,276.428,183.498
311.7,276.532,183.5
311.8,276.628,183.502
311.9,276.741,183.504
312,276.836,183.506
312.1,276.948,183.508
312.2,277.05,183.51
312.3,277.158,183.512
312.4,277.256,183.514
312.5,277.363,183.516
312.6,277.458,183.518
312.7,277.555,183.52
312.8,277.655,183.522
312.9,277.765,183.524
313,277.864,183.526
313.1,277.962,183.528
313.2,278.059,183.53
313.3,278.168,183.532
313.4,278.274,183.534
313.5,278.37,183.536
313.6,278.474,183.538
313.7,278.588,183.541
313.8,278.688,183.543
313.9,278.786,183.545
314,278.888,183.547
314.1,278.997,183.549
314.2,279.099,183.551
314.3,279.212,183.553
314.4,279.32,183.555
314.5,279.417,183.557
314.6,279.521,183.559
314.7,279.631,183.561
314.8,279.744,183.564
314.9,279.842,183.566
315,279.942,183.568
315.1,280.157,183.554
315.2,280.259,183.521
315.3,280.362,183.487
315.4,280.454,183.457
315.5,280.547,183.426
315.6,280.64,183.395
315.7,280.74,183.362
