person_id,timestamp,x,y
personFlow1.0,0.05,266.84,167.201
personFlow2.0,0.05,272.571,187.96
personFlow1.0,0.1,266.84,167.255
personFlow2.0,0.1,272.509,187.96
personFlow1.0,0.15,266.84,167.319
personFlow2.0,0.15,272.443,187.96
personFlow1.0,0.2,266.84,167.377
personFlow2.0,0.2,272.371,187.96
personFlow1.0,0.25,266.84,167.432
personFlow2.0,0.25,272.302,187.96
personFlow1.0,0.3,266.84,167.49
personFlow2.0,0.3,272.24,187.959
personFlow1.0,0.35,266.84,167.555
personFlow2.0,0.35,272.177,187.959
personFlow1.0,0.4,266.84,167.614
personFlow2.0,0.4,272.111,187.959
personFlow1.0,0.45,266.84,167.672
personFlow2.0,0.45,272.043,187.959
personFlow1.0,0.5,266.84,167.737
personFlow2.0,0.5,271.983,187.959
personFlow1.0,0.55,266.84,167.797
personFlow2.0,0.55,271.92,187.959
