sensor_id,x0,y0,x1,y1,x2,y2
0,266.9,157.169,269.397,152.269,266.612,151.677
1,266.9,157.517,271.843,155.106,269.976,152.958
2,266.9,157.866,272.359,158.536,271.963,155.717
3,266.9,158.214,271.963,160.363,272.359,157.544
4,266.9,158.562,269.976,163.122,271.843,160.974
5,266.9,158.911,266.612,164.403,269.397,163.811
6,261.81,158.911,259.313,163.811,262.098,164.403
7,261.81,158.562,256.473,159.893,257.854,162.383
8,261.81,158.214,256.378,157.354,256.675,160.185
9,261.81,157.866,256.675,155.895,256.378,158.726
10,261.81,157.517,257.854,153.697,256.473,156.187
11,261.81,157.169,262.098,151.677,259.313,152.269
