timestamp,id,sensor,x,y
1,car0,5,267.738,181.029,0
1.05,car0,5,267.722,180.952,1
1.1,car0,5,267.709,180.891,1
1.15,car0,5,267.694,180.819,1
1.2,car0,5,267.68,180.755,1
1.25,car0,5,267.667,180.694,1
1.3,car0,0,267.733,168.678,1
1.3,car0,5,267.654,180.634,1
1.35,car0,0,267.722,168.73,2
1.35,car0,5,267.641,180.573,2
1.4,car0,0,267.711,168.781,2
1.4,car0,5,267.63,180.517,2
1.45,car0,0,267.7,168.829,2
1.45,car0,5,267.616,180.455,2
1.5,car0,0,267.689,168.883,2
1.5,car0,5,267.604,180.397,2
1.55,car0,0,267.676,168.945,2
1.55,car0,5,267.593,180.345,2
1.6,car0,0,267.662,169.009,2
1.6,car0,5,267.58,180.283,2
1.65,car0,0,267.649,169.073,2
1.65,car0,5,267.565,180.214,2
1.7,car0,0,267.636,169.135,2
1.7,car0,5,267.552,180.154,2
1.75,car0,0,267.624,169.187,2
1.75,car0,5,267.539,180.092,2
1.8,car0,0,267.611,169.25,2
1.8,car0,5,267.529,180.043,2
1.85,car0,0,267.598,169.312,2
1.85,car0,5,267.518,179.991,2
1.9,car0,0,267.582,169.388,2
1.9,car0,5,267.505,179.932,2
1.95,car0,0,267.567,169.456,2
1.95,car0,5,267.49,179.86,2
2,car0,0,267.553,169.525,2
2,car0,5,267.474,179.785,2
2.05,car0,0,267.54,169.583,2
2.05,car0,5,267.46,179.718,2
2.1,car0,0,267.527,169.646,2
2.1,car0,5,267.445,179.65,2
2.15,car0,0,267.514,169.705,2
2.15,car0,5,267.431,179.585,2
2.2,car0,0,267.502,169.764,2
2.2,car0,5,267.418,179.52,2
2.25,car0,0,267.489,169.824,2
2.25,car0,5,267.405,179.46,2
2.3,car0,0,267.476,169.884,2
2.3,car0,5,267.391,179.396,2
2.35,car0,0,267.463,169.945,2
2.35,car0,5,267.38,179.342,2
2.4,car0,0,267.449,170.012,2
2.4,car0,5,267.367,179.282,2
2.45,car0,0,267.435,170.077,2
2.45,car0,5,267.356,179.231,2
