person_id,timestamp,x,y
personFlow1.0,0.05,266.84,167.201
personFlow2.0,0.05,272.571,187.96
personFlow1.0,0.1,266.84,167.255
personFlow2.0,0.1,272.509,187.96
personFlow1.0,0.15,266.84,167.319
personFlow2.0,0.15,272.443,187.96
personFlow1.0,0.2,266.84,167.377
personFlow2.0,0.2,272.371,187.96
personFlow1.0,0.25,266.84,167.432
personFlow2.0,0.25,272.302,187.96
personFlow1.0,0.3,266.84,167.49
personFlow2.0,0.3,272.24,187.959
personFlow1.0,0.35,266.84,167.555
personFlow2.0,0.35,272.177,187.959
personFlow1.0,0.4,266.84,167.614
personFlow2.0,0.4,272.111,187.959
personFlow1.0,0.45,266.84,167.672
personFlow2.0,0.45,272.043,187.959
personFlow1.0,0.5,266.84,167.737
personFlow2.0,0.5,271.983,187.959
personFlow1.0,0.55,266.84,167.797
personFlow2.0,0.55,271.92,187.959
personFlow1.0,0.6,266.84,167.862
personFlow2.0,0.6,271.855,187.959
personFlow1.0,0.65,266.84,167.923
personFlow2.0,0.65,271.817,187.958
personFlow1.0,0.7,266.84,167.976
personFlow2.0,0.7,271.757,187.954
personFlow1.0,0.75,266.84,168.029
personFlow2.0,0.75,271.69,187.95
personFlow1.0,0.8,266.84,168.088
personFlow2.0,0.8,271.621,187.945
personFlow1.0,0.85,266.84,168.152
personFlow2.0,0.85,271.553,187.941
personFlow1.0,0.9,266.84,168.207
personFlow2.0,0.9,271.482,187.937
personFlow1.0,0.95,266.84,168.26
personFlow2.0,0.95,271.41,187.932
personFlow1.0,1,266.84,168.316
personFlow2.0,1,271.343,187.928
personFlow1.0,1.05,266.84,168.38
personFlow2.0,1.05,271.272,187.924
personFlow1.0,1.1,266.84,168.439
personFlow2.0,1.1,271.214,187.92
personFlow1.0,1.15,266.84,168.501
personFlow2.0,1.15,271.144,187.916
personFlow1.0,1.2,266.84,168.564
personFlow2.0,1.2,271.08,187.912
personFlow1.0,1.25,266.84,168.626
personFlow2.0,1.25,271.019,187.908
personFlow1.0,1.3,266.84,168.69
personFlow2.0,1.3,270.957,187.904
personFlow1.0,1.35,266.84,168.746
personFlow2.0,1.35,270.893,187.9
personFlow1.0,1.4,266.84,168.802
personFlow2.0,1.4,270.834,187.897
personFlow1.0,1.45,266.84,168.854
personFlow2.0,1.45,270.766,187.893
personFlow1.0,1.5,266.84,168.913
personFlow2.0,1.5,270.702,187.889
personFlow1.0,1.55,266.84,168.976
personFlow2.0,1.55,270.643,187.885
personFlow1.0,1.6,266.84,169.039
personFlow2.0,1.6,270.58,187.881
personFlow1.0,1.65,266.84,169.102
personFlow2.0,1.65,270.508,187.877
personFlow1.0,1.7,266.84,169.163
personFlow2.0,1.7,270.443,187.873
personFlow1.0,1.75,266.84,169.216
personFlow2.0,1.75,270.372,187.868
personFlow1.0,1.8,266.84,169.279
personFlow2.0,1.8,270.314,187.865
personFlow1.0,1.85,266.84,169.34
personFlow2.0,1.85,270.246,187.861
personFlow1.0,1.9,266.84,169.404
personFlow2.0,1.9,270.182,187.857
personFlow1.0,1.95,266.84,169.467
personFlow2.0,1.95,270.112,187.852
personFlow1.0,2,266.84,169.531
personFlow2.0,2,270.041,187.848
personFlow1.0,2.05,266.84,169.587
personFlow2.0,2.05,269.973,187.844
personFlow1.0,2.1,266.84,169.648
personFlow2.0,2.1,269.904,187.839
personFlow1.0,2.15,266.84,169.704
personFlow2.0,2.15,269.837,187.835
personFlow1.0,2.2,266.84,169.762
personFlow2.0,2.2,269.771,187.831
personFlow1.0,2.25,266.84,169.82
personFlow2.0,2.25,269.71,187.827
personFlow1.0,2.3,266.84,169.878
personFlow2.0,2.3,269.644,187.823
personFlow1.0,2.35,266.84,169.938
personFlow2.0,2.35,269.585,187.82
personFlow1.0,2.4,266.84,170.003
personFlow2.0,2.4,269.517,187.815
personFlow1.0,2.45,266.84,170.066
personFlow2.0,2.45,269.457,187.812
personFlow1.0,2.5,266.84,170.123
personFlow2.0,2.5,269.398,187.808
personFlow1.0,2.55,266.84,170.182
personFlow2.0,2.55,269.332,187.804
personFlow1.0,2.6,266.84,170.238
personFlow2.0,2.6,269.266,187.8
personFlow1.0,2.65,266.84,170.292
personFlow2.0,2.65,269.202,187.796
personFlow1.0,2.7,266.84,170.344
personFlow2.0,2.7,269.134,187.792
personFlow1.0,2.75,266.84,170.404
personFlow2.0,2.75,269.066,187.788
personFlow1.0,2.8,266.84,170.46
personFlow2.0,2.8,268.995,187.783
personFlow1.0,2.85,266.84,170.519
personFlow2.0,2.85,268.932,187.779
personFlow1.0,2.9,266.84,170.574
personFlow2.0,2.9,268.864,187.775
personFlow1.0,2.95,266.84,170.63
